filename,album,year,track_number,title,language,char_count,lemma_count,unique_lemmas,lexical_diversity_ttr,h1_territory_concrete_per100,h1_territory_metaphorical_per100,h1_concrete_metaphorical_ratio,h2_displacement_per100,h2_displacement_unique_hits,h3_passive_ratio,h3_fp_agent_ratio,h3_fp_patient_ratio,h3_resistance_per100,h3_victimhood_per100,h3_fp_total,h4_total_gendered_per100,h4_fem_pron_per100,h4_masc_pron_per100,h4_fem_relational_per100,h4_masc_relational_per100,h4_fem_social_conv_per100,h4_masc_social_conv_per100,h4_fem_masc_ratio,h4_fem_agent_ratio,h4_fem_patient_ratio,h4_masc_agent_ratio,h4_masc_patient_ratio,h4_contextual_unresolved,h4_contextual_resolved_fem,h4_contextual_resolved_masc,h4_n_fem_total,h4_n_masc_total,h4_n_neutral_total,h4_total_mentions
02_cloud_factory_2014/06_when_two_empires_collide.txt,Cloud Factory,2014,6,When Two Empires Collide,en,1229,98.0,52.0,0.5306122448979592,6.122448979591836,0.0,,0.0,0.0,0.2381,0.68,0.04,0.3968,0.3968,25.0,3.1746,0.0,0.3968,0.0,1.1905,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.0,0.0,1.0,0.0,5.0,1.0,8.0
02_cloud_factory_2014/07_bad_water.txt,Cloud Factory,2014,7,Bad Water,en,994,105.0,66.0,0.6285714285714286,0.9523809523809523,0.0,,0.0,0.0,0.1714,0.6,0.05,0.4762,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_cloud_factory_2014/08_zhelayu_znachit_poluchu.txt,Cloud Factory,2014,8,Zhelayu Znachit Poluchu,ru,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_king_of_everything_2016/01_prologue.txt,King of Everything,2016,1,Prologue,en,596,38.0,21.0,0.5526315789473685,0.0,2.6315789473684212,0.0,0.0,0.0,0.6,0.5,0.125,0.0,0.0,8.0,11.215,0.0,1.8692,0.0,0.0,0.0,9.3458,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0
03_king_of_everything_2016/02_captain_clock.txt,King of Everything,2016,2,Captain Clock,en,1517,151.0,106.0,0.7019867549668874,2.6490066225165565,0.0,,0.0,0.0,0.3529,0.2941,0.0,0.0,0.0,17.0,4.1667,0.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833,0.3333,0.0,0.0,1.0,0.0,12.0,0.0,12.0
03_king_of_everything_2016/03_words_of_wisdom.txt,King of Everything,2016,3,Words Of Wisdom,en,1346,110.0,52.0,0.4727272727272727,0.0,0.0,,0.0,0.0,0.2143,0.1429,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03_king_of_everything_2016/04_just_another.txt,King of Everything,2016,4,Just Another,en,1239,74.0,38.0,0.5135135135135135,0.0,8.108108108108109,0.0,0.0,0.0,0.0,0.6316,0.2632,2.1277,2.5532,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03_king_of_everything_2016/05_i_speak_astronomy.txt,King of Everything,2016,5,I Speak Astronomy,en,1177,109.0,73.0,0.6697247706422018,0.0,0.9174311926605505,0.0,0.9174311926605505,1.0,0.5714,0.0556,0.2222,0.4651,0.0,18.0,1.3953,0.0,0.9302,0.0,0.0,0.0,0.4651,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
03_king_of_everything_2016/06_sit_stay_roll_over.txt,King of Everything,2016,6,Sit Stay Roll Over,en,1461,140.0,70.0,0.5,0.0,0.0,,0.0,0.0,0.1765,0.2,0.0,0.3623,0.3623,5.0,0.3623,0.0,0.3623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
03_king_of_everything_2016/07_under_the_dome.txt,King of Everything,2016,7,Under The Dome,en,1368,131.0,83.0,0.6335877862595419,0.0,1.5267175572519085,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.4149,2.0,0.8299,0.0,0.4149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
