album,year,lemma_count,lexical_diversity_ttr,h1_territory_concrete_per100,h1_territory_metaphorical_per100,h1_concrete_metaphorical_ratio,h2_displacement_per100,h2_displacement_unique_hits,h3_passive_ratio,h3_fp_agent_ratio,h3_fp_patient_ratio,h3_resistance_per100,h3_victimhood_per100,h3_fp_total,h4_total_gendered_per100,h4_fem_pron_per100,h4_masc_pron_per100,h4_fem_relational_per100,h4_masc_relational_per100,h4_fem_social_conv_per100,h4_masc_social_conv_per100,h4_fem_masc_ratio,h4_fem_agent_ratio,h4_fem_patient_ratio,h4_masc_agent_ratio,h4_masc_patient_ratio,h4_contextual_unresolved,h4_contextual_resolved_fem,h4_contextual_resolved_masc,h4_n_fem_total,h4_n_masc_total,h4_n_neutral_total,h4_total_mentions
Inhale Do Not Breathe,2012,98.25,0.5529066357028052,1.3125824153848127,1.2997760079641614,0.7222222222222222,0.0,0.0,0.131,0.6275625,0.1552375,2.2658625,2.3851,22.25,0.43365,0.0,0.0,0.0,0.0,0.0,0.2641125,0.0,0.0,0.0,0.0833375,0.1666625,0.25,0.0,0.0,0.0,0.75,0.0,1.0
Cloud Factory,2014,122.14285714285714,0.5633754429745089,2.9651841296013686,0.9446120584252305,1.5,0.26129546306711665,0.2857142857142857,0.13555714285714285,0.6588,0.054457142857142864,0.5601142857142857,0.3587714285714286,14.428571428571429,1.0351428571428571,0.10131428571428572,0.17345714285714284,0.16369999999999998,0.21865714285714286,0.0,0.04995714285714286,0.19047142857142857,0.11904285714285713,0.0,0.17857142857142858,0.1142857142857143,0.2857142857142857,0.0,0.14285714285714285,0.7142857142857143,1.5714285714285714,0.2857142857142857,2.857142857142857
King of Everything,2016,99.5,0.596745185216623,0.26490066225165565,1.7373954629654154,0.0,0.09174311926605505,0.1,0.30832,0.29671000000000003,0.09913999999999999,0.29551,0.37890999999999997,9.6,3.3529600000000004,0.0,0.8140700000000001,0.0,0.0,0.0,2.2556000000000003,0.0,0.0,0.0,0.22261999999999998,0.08332999999999999,0.1,0.0,0.1,0.0,4.6,0.1,4.8
Macro,2019,90.66666666666667,0.6753721494775495,2.171352890600692,0.5409596788907134,4.125,0.6156774862044868,0.3333333333333333,0.18108888888888888,0.4598444444444445,0.3164222222222222,0.8715555555555555,0.8449555555555555,10.555555555555555,1.2245666666666668,0.30146666666666666,0.07907777777777777,0.11757777777777778,0.31868888888888885,0.0,0.09075555555555555,0.13636666666666666,0.041666666666666664,0.09722222222222222,0.1388888888888889,0.12963333333333335,0.4444444444444444,0.1111111111111111,0.0,1.1111111111111112,1.3333333333333333,0.0,2.888888888888889
Micro EP,2019,125.5,0.7365926205952273,1.802834702536788,0.0,,0.0,0.0,0.153825,0.6187750000000001,0.123225,1.301475,0.8654,21.25,2.5431749999999997,1.1223999999999998,0.41627499999999995,0.225225,0.112625,0.0,0.05555,0.609375,0.291675,0.05835,0.20832499999999998,0.083325,1.0,1.25,0.0,5.75,1.5,0.25,8.5
Wallflowers,2021,102.18181818181819,0.697803243849238,1.078150923996815,0.994887835704231,0.6666666666666666,0.25979396947138883,0.2727272727272727,0.05934545454545455,0.5137636363636363,0.14643636363636364,0.3024181818181818,0.6754454545454546,20.454545454545453,1.5757363636363635,0.0,0.5480363636363637,0.0,0.0,0.0,0.11507272727272727,0.0,0.0,0.0,0.20302727272727272,0.19848181818181818,0.7272727272727273,0.0,0.18181818181818182,0.0,3.090909090909091,0.09090909090909091,3.909090909090909
Duél,2025,102.27272727272727,0.7101880596277731,1.4072110565530656,0.8637066605769589,0.5,0.7541561080581044,0.5454545454545454,0.13556363636363636,0.4844090909090909,0.09103636363636364,0.2751909090909091,1.5699636363636364,17.454545454545453,2.2362454545454544,0.43970909090909094,0.8267181818181818,0.11410909090909092,0.0,0.0,0.24381818181818185,0.16262727272727273,0.15421818181818184,0.011363636363636364,0.022727272727272728,0.1212090909090909,0.8181818181818182,0.18181818181818182,0.0,1.4545454545454546,2.272727272727273,0.0,4.545454545454546
